[Gene32_Down] -> [Gene59_UP] ( confidence : 0.7647058823529411 | support : 0.52 ),
[Gene59_UP] -> [Gene32_Down] ( confidence : 0.6842105263157895 | support : 0.52 ),
[Gene38_Down] -> [Gene59_UP] ( confidence : 0.726027397260274 | support : 0.53 ),
[Gene59_UP] -> [Gene38_Down] ( confidence : 0.6973684210526315 | support : 0.53 ),
[Gene38_Down] -> [Gene65_Down] ( confidence : 0.684931506849315 | support : 0.5 ),
[Gene65_Down] -> [Gene38_Down] ( confidence : 0.819672131147541 | support : 0.5 ),
[Gene54_UP] -> [Gene1_UP] ( confidence : 0.746268656716418 | support : 0.5 ),
[Gene1_UP] -> [Gene54_UP] ( confidence : 0.7246376811594203 | support : 0.5 ),
[Gene13_Down] -> [Gene72_UP] ( confidence : 0.7794117647058824 | support : 0.53 ),
[Gene72_UP] -> [Gene13_Down] ( confidence : 0.7162162162162162 | support : 0.53 ),
[Gene88_Down] -> [Gene38_Down] ( confidence : 0.704225352112676 | support : 0.5 ),
[Gene38_Down] -> [Gene88_Down] ( confidence : 0.684931506849315 | support : 0.5 ),
[Gene97_Down] -> [Gene72_UP] ( confidence : 0.8360655737704918 | support : 0.51 ),
[Gene72_UP] -> [Gene97_Down] ( confidence : 0.6891891891891891 | support : 0.51 ),
[Gene28_Down] -> [Gene52_Down] ( confidence : 0.7323943661971831 | support : 0.52 ),
[Gene52_Down] -> [Gene28_Down] ( confidence : 0.8 | support : 0.52 ),
[Gene28_Down] -> [Gene6_UP] ( confidence : 0.704225352112676 | support : 0.5 ),
[Gene6_UP] -> [Gene28_Down] ( confidence : 0.7575757575757576 | support : 0.5 ),
[Gene28_Down] -> [Gene13_Down] ( confidence : 0.704225352112676 | support : 0.5 ),
[Gene13_Down] -> [Gene28_Down] ( confidence : 0.7352941176470589 | support : 0.5 ),
[Gene38_Down] -> [Gene6_UP] ( confidence : 0.684931506849315 | support : 0.5 ),
[Gene6_UP] -> [Gene38_Down] ( confidence : 0.7575757575757576 | support : 0.5 ),
[Gene88_Down] -> [Gene8_UP] ( confidence : 0.7183098591549296 | support : 0.51 ),
[Gene8_UP] -> [Gene88_Down] ( confidence : 0.7727272727272727 | support : 0.51 ),
[Gene10_Down] -> [Gene59_UP] ( confidence : 0.7142857142857143 | support : 0.5 ),
[Gene59_UP] -> [Gene10_Down] ( confidence : 0.6578947368421053 | support : 0.5 ),
[Gene96_Down] -> [Gene72_UP] ( confidence : 0.8309859154929577 | support : 0.59 ),
[Gene72_UP] -> [Gene96_Down] ( confidence : 0.7972972972972973 | support : 0.59 ),
[Gene82_Down] -> [Gene72_UP] ( confidence : 0.8529411764705882 | support : 0.58 ),
[Gene72_UP] -> [Gene82_Down] ( confidence : 0.7837837837837838 | support : 0.58 ),
[Gene32_Down] -> [Gene6_UP] ( confidence : 0.7352941176470589 | support : 0.5 ),
[Gene6_UP] -> [Gene32_Down] ( confidence : 0.7575757575757576 | support : 0.5 ),
[Gene28_Down] -> [Gene47_UP] ( confidence : 0.7183098591549296 | support : 0.51 ),
[Gene47_UP] -> [Gene28_Down] ( confidence : 0.7727272727272727 | support : 0.51 ),
[Gene54_UP] -> [Gene24_Down] ( confidence : 0.746268656716418 | support : 0.5 ),
[Gene24_Down] -> [Gene54_UP] ( confidence : 0.7936507936507936 | support : 0.5 ),
[Gene87_UP] -> [Gene59_UP] ( confidence : 0.7611940298507462 | support : 0.51 ),
[Gene59_UP] -> [Gene87_UP] ( confidence : 0.6710526315789473 | support : 0.51 ),
[Gene13_Down] -> [Gene6_UP] ( confidence : 0.7352941176470589 | support : 0.5 ),
[Gene6_UP] -> [Gene13_Down] ( confidence : 0.7575757575757576 | support : 0.5 ),
[Gene38_Down] -> [Gene41_Down] ( confidence : 0.684931506849315 | support : 0.5 ),
[Gene41_Down] -> [Gene38_Down] ( confidence : 0.78125 | support : 0.5 ),
