[Gene28_Down] -> [Gene90_UP] ( confidence : 0.5633802816901409 | support : 0.4 ),
[Gene90_UP] -> [Gene28_Down] ( confidence : 0.7692307692307693 | support : 0.4 ),
[Gene66_UP] -> [Gene59_UP] ( confidence : 0.7796610169491526 | support : 0.46 ),
[Gene59_UP] -> [Gene66_UP] ( confidence : 0.6052631578947368 | support : 0.46 ),
[Gene47_UP] -> [Gene78_UP] ( confidence : 0.6212121212121212 | support : 0.41 ),
[Gene78_UP] -> [Gene47_UP] ( confidence : 0.6949152542372882 | support : 0.41 ),
[Gene36_UP] -> [Gene8_UP] ( confidence : 0.6721311475409836 | support : 0.41 ),
[Gene8_UP] -> [Gene36_UP] ( confidence : 0.6212121212121212 | support : 0.41 ),
[Gene21_UP] -> [Gene1_UP] ( confidence : 0.7096774193548387 | support : 0.44 ),
[Gene1_UP] -> [Gene21_UP] ( confidence : 0.6376811594202898 | support : 0.44 ),
[Gene1_UP] -> [Gene67_UP] ( confidence : 0.7246376811594203 | support : 0.5 ),
[Gene67_UP] -> [Gene1_UP] ( confidence : 0.8064516129032258 | support : 0.5 ),
[Gene52_Down] -> [Gene32_Down] ( confidence : 0.6923076923076923 | support : 0.45 ),
[Gene32_Down] -> [Gene52_Down] ( confidence : 0.6617647058823529 | support : 0.45 ),
[Gene100_Down] -> [Gene59_UP] ( confidence : 0.7735849056603774 | support : 0.41 ),
[Gene59_UP] -> [Gene100_Down] ( confidence : 0.5394736842105263 | support : 0.41 ),
[Gene88_Down] -> [Gene19_Down] ( confidence : 0.5774647887323944 | support : 0.41 ),
[Gene19_Down] -> [Gene88_Down] ( confidence : 0.7735849056603774 | support : 0.41 ),
[Gene38_Down] -> [Gene69_Down] ( confidence : 0.6301369863013698 | support : 0.46 ),
[Gene69_Down] -> [Gene38_Down] ( confidence : 0.7419354838709677 | support : 0.46 ),
[Gene38_Down] -> [Gene47_UP] ( confidence : 0.7397260273972602 | support : 0.54 ),
[Gene47_UP] -> [Gene38_Down] ( confidence : 0.8181818181818182 | support : 0.54 ),
[Gene2_Down] -> [Gene65_Down] ( confidence : 0.6818181818181818 | support : 0.45 ),
[Gene65_Down] -> [Gene2_Down] ( confidence : 0.7377049180327869 | support : 0.45 ),
[Gene26_Down] -> [Gene59_UP] ( confidence : 0.8541666666666666 | support : 0.41 ),
[Gene59_UP] -> [Gene26_Down] ( confidence : 0.5394736842105263 | support : 0.41 ),
[Gene38_Down] -> [Gene71_UP] ( confidence : 0.6027397260273972 | support : 0.44 ),
[Gene71_UP] -> [Gene38_Down] ( confidence : 0.7586206896551724 | support : 0.44 ),
[Gene16_Down] -> [Gene96_Down] ( confidence : 0.7586206896551724 | support : 0.44 ),
[Gene96_Down] -> [Gene16_Down] ( confidence : 0.6197183098591549 | support : 0.44 ),
[Gene88_Down] -> [Gene24_Down] ( confidence : 0.704225352112676 | support : 0.5 ),
[Gene24_Down] -> [Gene88_Down] ( confidence : 0.7936507936507936 | support : 0.5 ),
[Gene28_Down] -> [Gene38_Down] ( confidence : 0.7746478873239436 | support : 0.55 ),
[Gene38_Down] -> [Gene28_Down] ( confidence : 0.7534246575342466 | support : 0.55 ),
[Gene95_Down] -> [Gene78_UP] ( confidence : 0.6666666666666666 | support : 0.4 ),
[Gene78_UP] -> [Gene95_Down] ( confidence : 0.6779661016949152 | support : 0.4 ),
[Gene88_Down] -> [Gene36_UP] ( confidence : 0.6197183098591549 | support : 0.44 ),
[Gene36_UP] -> [Gene88_Down] ( confidence : 0.7213114754098361 | support : 0.44 ),
[Gene76_Down] -> [Gene41_Down] ( confidence : 0.6612903225806451 | support : 0.41 ),
[Gene41_Down] -> [Gene76_Down] ( confidence : 0.640625 | support : 0.41 ),
[Gene52_Down] -> [Gene65_Down] ( confidence : 0.6923076923076923 | support : 0.45 ),
[Gene65_Down] -> [Gene52_Down] ( confidence : 0.7377049180327869 | support : 0.45 ),
[Gene88_Down] -> [Gene82_Down] ( confidence : 0.647887323943662 | support : 0.46 ),
[Gene82_Down] -> [Gene88_Down] ( confidence : 0.6764705882352942 | support : 0.46 ),
[Gene76_Down] -> [Gene69_Down] ( confidence : 0.6612903225806451 | support : 0.41 ),
[Gene69_Down] -> [Gene76_Down] ( confidence : 0.6612903225806451 | support : 0.41 ),
[Gene96_Down] -> [Gene49_Down] ( confidence : 0.5633802816901409 | support : 0.4 ),
[Gene49_Down] -> [Gene96_Down] ( confidence : 0.7692307692307693 | support : 0.4 ),
[Gene10_Down] -> [Gene72_UP] ( confidence : 0.6857142857142857 | support : 0.48 ),
[Gene72_UP] -> [Gene10_Down] ( confidence : 0.6486486486486487 | support : 0.48 ),
[Gene68_Down] -> [Gene32_Down] ( confidence : 0.7540983606557377 | support : 0.46 ),
[Gene32_Down] -> [Gene68_Down] ( confidence : 0.6764705882352942 | support : 0.46 ),
[Gene21_UP] -> [Gene47_UP] ( confidence : 0.7258064516129032 | support : 0.45 ),
[Gene47_UP] -> [Gene21_UP] ( confidence : 0.6818181818181818 | support : 0.45 ),
[Gene97_Down] -> [Gene82_Down] ( confidence : 0.8360655737704918 | support : 0.51 ),
[Gene82_Down] -> [Gene97_Down] ( confidence : 0.75 | support : 0.51 ),
[Gene37_UP] -> [Gene87_UP] ( confidence : 0.7142857142857143 | support : 0.4 ),
[Gene87_UP] -> [Gene37_UP] ( confidence : 0.5970149253731343 | support : 0.4 ),
[Gene77_UP] -> [Gene47_UP] ( confidence : 0.7068965517241379 | support : 0.41 ),
[Gene47_UP] -> [Gene77_UP] ( confidence : 0.6212121212121212 | support : 0.41 ),
[Gene87_UP] -> [Gene72_UP] ( confidence : 0.7164179104477612 | support : 0.48 ),
[Gene72_UP] -> [Gene87_UP] ( confidence : 0.6486486486486487 | support : 0.48 ),
[Gene16_Down] -> [Gene66_UP] ( confidence : 0.7241379310344828 | support : 0.42 ),
[Gene66_UP] -> [Gene16_Down] ( confidence : 0.711864406779661 | support : 0.42 ),
[Gene1_UP] -> [Gene89_UP] ( confidence : 0.6231884057971014 | support : 0.43 ),
[Gene89_UP] -> [Gene1_UP] ( confidence : 0.7288135593220338 | support : 0.43 ),
[Gene1_UP] -> [Gene66_UP] ( confidence : 0.5797101449275363 | support : 0.4 ),
[Gene66_UP] -> [Gene1_UP] ( confidence : 0.6779661016949152 | support : 0.4 ),
[Gene2_Down] -> [Gene72_UP] ( confidence : 0.7424242424242424 | support : 0.49 ),
